Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
56503,Middle aged,Dead,No,,1841.16,,,
14212,Mature,Fair,No,,15979.27,411.1,9.1,207.1
4848,Middle aged,Fair,No,,5834.18,148,5.6,153.4
58310,Middle aged,Good,No,,2330.22,,,
58700,Juvenile,Good,No,,115.07,,,
46789,Juvenile,Good,No,,1380.87,3.8,0.8,3.5
13863,Mature,Good,No,,11418.08,489.5,14.3,327.1
2024,Mature,Good,No,,65537.44,2657.3,36.1,1622.3
48900,Middle aged,Good,No,,776.74,3.8,0.8,25.2
58624,Not Applicable,Not applicable,No,,0,,,
2244,Mature,Fair,No,,6048.5,161.6,6,64.8
33095,Mature,Good,No,,7258.21,61.1,3.8,121.3
53733,Middle aged,Good,No,,1941.85,15.6,1.8,28.4
53984,Not Applicable,Not applicable,No,,0,,,
56889,Juvenile,Good,No,,153.43,1.2,0.4,2.9
32374,Mature,Good,No,,2174.87,27.2,1.6,56.4
4022,Middle aged,Poor,No,,2917.09,126,5.3,133.6
21340,Middle aged,Good,No,,5056.9,63.9,2.6,97.4
17748,Not Applicable,Fair,No,,8293.86,,,
5087,Mature,Fair,No,,75516.4,3237.7,36,1066.8
22298,Mature,Fair,No,,27347.72,755.4,12.2,162.2
12252,Middle aged,Fair,No,,6041.31,157.9,6.1,111.9
11620,Middle aged,Fair,No,,7309.99,201,7,49.6
16817,Mature,Good,No,,8285.23,166,6.2,312.1
45499,Mature,Good,No,,21576.12,639.2,14.3,357.3
15662,Mature,Fair,No,,16321.25,407.3,11.1,201.9
51774,Mature,Good,No,,9786.92,273.6,9.4,389.1
21026,Middle aged,Good,No,,3115.59,26.6,2.3,47.5
1100101,Juvenile,Good,No,,191.79,,,
5861,Mature,Fair,No,,12082.63,301,7.2,164.9
58367,Juvenile,Good,No,,115.07,,,
350,Middle aged,Fair,No,,9942.27,142.1,4.7,151.2
13965,Mature,Good,No,,26253.82,595,14.9,605
37040,Middle aged,Good,No,,1213.66,27.6,2.7,50.9
40983,Middle aged,Fair,No,,2854.52,74,3.9,89.8
51452,Middle aged,Good,No,,317.17,5.4,1,8.6
12930,Middle aged,Good,No,,3452.18,71.5,4.1,67.7
60082,,,No,,,,,
30742,Middle aged,Fair,No,,1747.67,40,2.7,44.5
1079,Mature,Good,No,,85790.95,2765.2,36.9,823.5
49967,Middle aged,Good,No,,2423.24,73.4,4.3,35.8
11322,Middle aged,Fair,No,,5819.8,272,9,35.1
453,Mature,Good,No,,39798.82,19,2.4,260.6
51334,Juvenile,Good,No,,258.91,1.6,0.5,3.5
37405,Juvenile,Fair,No,,2454.88,38.5,2.6,3.5
11821,Mature,Good,No,,18693.54,715,15.6,47.5
15720,Mature,Good,No,,46604.41,2216.6,30.6,106.8
21008,Mature,Dead,Yes,"Dead, dying",3806.03,80.5,4,50.8
8293,Mature,Fair,No,,4228.92,182.2,7.1,67.7
17366,Mature,Fair,No,,44773.67,1757.4,25.1,352.1
49677,Middle aged,Good,No,,317.17,2.5,0.6,3.5
48886,Middle aged,Good,No,,1398.13,7.7,1.2,11.2
15221,Middle aged,Fair,No,,3568.15,44,3,39.7
55976,Juvenile,Good,No,,1078.8,9.1,1.1,41.4
12486,Mature,Good,No,,34953.31,916,19.2,323.6
7915,Mature,Fair,No,,26107.1,693.7,11.1,212.9
226,Mature,Good,No,,54614.54,1093.3,21.3,1534.9
457,Mature,Good,No,,53601.54,2689.7,36.2,454.5
6494,Mature,Fair,No,,16161.94,586,9.9,212.2
58504,Juvenile,Good,No,,414.26,,,
14122,Mature,Fair,No,,12082.63,293.9,7.6,254.3
6665,Mature,Good,No,,32113.35,1060.8,21,626
18204,Mature,Fair,No,,13962.98,226.5,6.1,215.2
53848,Juvenile,Good,No,,179.8,2.8,0.6,9.9
75,Mature,Fair,No,,16116.88,567.3,11.8,178.3
49191,Juvenile,Fair,No,,103.57,1.6,0.5,3.5
38028,Middle aged,Fair,No,,3728.35,28.1,2.4,54.5
6125,Mature,Fair,No,,20419.63,406.9,9.6,331.2
11091,Juvenile,Good,No,,647.28,12.3,1.5,8.5
8759,Mature,Fair,No,,10572.3,198.2,6.9,157.7
20079,Mature,Fair,No,,12583.19,764.7,15.3,301.6
56189,Middle aged,Good,No,,1093.91,14.8,1.7,37.1
5570,Mature,Good,No,,21447.74,355,8.5,138
20509,Middle aged,Fair,No,,6068.29,77.2,3.5,19.7
57816,Juvenile,Good,No,,239.74,,,
47172,Middle aged,Fair,No,,2078.5,39.5,2.7,39.3
13544,Mature,Fair,No,,24165.25,583,13.1,252.7
12628,Mature,Fair,No,,18874.78,482,9.9,65.7
4220,Mature,Good,No,,38536.02,1102.7,21.5,1038.3
26522,Over Mature,Good,No,,539.4,12.3,1.5,69
51376,Mature,Fair,No,,1268.68,24.1,2,47.5
